Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Other people in need of international protection,Stateless persons,Host Community,Others of concern,Total
2022,Belarus,BLR,United Kingdom of Great Britain and Northern Ireland,GBR,98,125,0,0,0,0,0,223
2022,China,CHN,United Kingdom of Great Britain and Northern Ireland,GBR,928,2747,0,0,0,0,0,3675
2022,Senegal,SEN,United Kingdom of Great Britain and Northern Ireland,GBR,92,85,0,0,0,0,0,177
2022,Zimbabwe,ZWE,United Kingdom of Great Britain and Northern Ireland,GBR,914,378,0,0,0,0,0,1292
2022,Gabon,GAB,United Kingdom of Great Britain and Northern Ireland,GBR,9,7,0,0,0,0,0,16
2022,Guinea-Bissau,GNB,United Kingdom of Great Britain and Northern Ireland,GBR,9,5,0,0,0,0,0,14
2022,Guatemala,GTM,United Kingdom of Great Britain and Northern Ireland,GBR,9,57,0,0,0,0,0,66
2022,Seychelles,SYC,United Kingdom of Great Britain and Northern Ireland,GBR,9,0,0,0,0,0,0,9
2022,Congo,COG,United Kingdom of Great Britain and Northern Ireland,GBR,88,94,0,0,0,0,0,182
2022,Bahrain,BHR,United Kingdom of Great Britain and Northern Ireland,GBR,87,34,0,0,0,0,0,121
2022,Dem. Rep. of the Congo,COD,United Kingdom of Great Britain and Northern Ireland,GBR,856,287,0,0,0,0,0,1143
2022,Iraq,IRQ,United Kingdom of Great Britain and Northern Ireland,GBR,8272,15887,0,0,0,0,0,24159
2022,Cameroon,CMR,United Kingdom of Great Britain and Northern Ireland,GBR,826,491,0,0,0,0,0,1317
2022,Zambia,ZMB,United Kingdom of Great Britain and Northern Ireland,GBR,81,63,0,0,0,0,0,144
2022,Georgia,GEO,United Kingdom of Great Britain and Northern Ireland,GBR,80,1820,0,0,0,0,0,1900
2022,Pakistan,PAK,United Kingdom of Great Britain and Northern Ireland,GBR,7896,5859,0,0,0,0,0,13755
2022,Kuwait,KWT,United Kingdom of Great Britain and Northern Ireland,GBR,750,1459,0,0,0,0,0,2209
2022,Nepal,NPL,United Kingdom of Great Britain and Northern Ireland,GBR,74,1529,0,0,0,0,0,1603
2022,Gambia,GMB,United Kingdom of Great Britain and Northern Ireland,GBR,739,303,0,0,0,0,0,1042
2022,Nicaragua,NIC,United Kingdom of Great Britain and Northern Ireland,GBR,73,315,0,0,0,0,0,388
2022,Tunisia,TUN,United Kingdom of Great Britain and Northern Ireland,GBR,73,217,0,0,0,0,0,290
2022,Mauritania,MRT,United Kingdom of Great Britain and Northern Ireland,GBR,7,11,0,0,0,0,0,18
2022,Saint Kitts and Nevis,KNA,United Kingdom of Great Britain and Northern Ireland,GBR,7,22,0,0,0,0,0,29
2022,Palestinian,PSE,United Kingdom of Great Britain and Northern Ireland,GBR,691,581,0,0,0,0,0,1272
2022,Serbia and Kosovo: S/RES/1244 (1999),SRB,United Kingdom of Great Britain and Northern Ireland,GBR,67,101,0,0,0,0,0,168
2022,United States of America,USA,United Kingdom of Great Britain and Northern Ireland,GBR,67,147,0,0,0,0,0,214
2022,Venezuela (Bolivarian Republic of),VEN,United Kingdom of Great Britain and Northern Ireland,GBR,67,43,0,0,0,0,0,110
2022,Philippines,PHL,United Kingdom of Great Britain and Northern Ireland,GBR,66,1073,0,0,0,0,0,1139
2022,Uzbekistan,UZB,United Kingdom of Great Britain and Northern Ireland,GBR,64,387,0,0,0,0,0,451
2022,Mauritius,MUS,United Kingdom of Great Britain and Northern Ireland,GBR,63,165,0,0,0,0,0,228
2022,Djibouti,DJI,United Kingdom of Great Britain and Northern Ireland,GBR,6,6,0,0,0,0,0,12
2022,Mozambique,MOZ,United Kingdom of Great Britain and Northern Ireland,GBR,6,5,0,0,0,0,0,11
2022,Burundi,BDI,United Kingdom of Great Britain and Northern Ireland,GBR,54,27,0,0,0,0,0,81
2022,Armenia,ARM,United Kingdom of Great Britain and Northern Ireland,GBR,52,19,0,0,0,0,0,71
2022,India,IND,United Kingdom of Great Britain and Northern Ireland,GBR,517,4640,0,0,0,0,0,5157
2022,Kazakhstan,KAZ,United Kingdom of Great Britain and Northern Ireland,GBR,50,155,0,0,0,0,0,205
2022,Australia,AUS,United Kingdom of Great Britain and Northern Ireland,GBR,5,6,0,0,0,0,0,11
2022,Bosnia and Herzegovina,BIH,United Kingdom of Great Britain and Northern Ireland,GBR,5,5,0,0,0,0,0,10
2022,Cabo Verde,CPV,United Kingdom of Great Britain and Northern Ireland,GBR,5,0,0,0,0,0,0,5
2022,Ecuador,ECU,United Kingdom of Great Britain and Northern Ireland,GBR,5,53,0,0,0,0,0,58
2022,Equatorial Guinea,GNQ,United Kingdom of Great Britain and Northern Ireland,GBR,5,8,0,0,0,0,0,13
2022,Greece,GRC,United Kingdom of Great Britain and Northern Ireland,GBR,5,13,0,0,0,0,0,18
2022,Italy,ITA,United Kingdom of Great Britain and Northern Ireland,GBR,5,5,0,0,0,0,0,10
2022,Rep. of Korea,KOR,United Kingdom of Great Britain and Northern Ireland,GBR,5,11,0,0,0,0,0,16
2022,Lao People's Dem. Rep.,LAO,United Kingdom of Great Britain and Northern Ireland,GBR,5,0,0,0,0,0,0,5
2022,Rep. of Moldova,MDA,United Kingdom of Great Britain and Northern Ireland,GBR,5,15,0,0,0,0,0,20
2022,Netherlands (Kingdom of the),NLD,United Kingdom of Great Britain and Northern Ireland,GBR,5,0,0,0,0,0,0,5
2022,Norway,NOR,United Kingdom of Great Britain and Northern Ireland,GBR,5,0,0,0,0,0,0,5
2022,Singapore,SGP,United Kingdom of Great Britain and Northern Ireland,GBR,5,10,0,0,0,0,0,15
2022,Indonesia,IDN,United Kingdom of Great Britain and Northern Ireland,GBR,49,174,0,0,0,0,0,223
2022,Eswatini,SWZ,United Kingdom of Great Britain and Northern Ireland,GBR,49,7,0,0,0,0,0,56
2022,Albania,ALB,United Kingdom of Great Britain and Northern Ireland,GBR,4697,24747,0,0,0,0,0,29444
2022,Libya,LBY,United Kingdom of Great Britain and Northern Ireland,GBR,4683,1134,0,0,0,0,0,5817
2022,Brazil,BRA,United Kingdom of Great Britain and Northern Ireland,GBR,46,773,0,0,0,0,0,819
2022,Mongolia,MNG,United Kingdom of Great Britain and Northern Ireland,GBR,46,63,0,0,0,0,0,109
2022,Maldives,MDV,United Kingdom of Great Britain and Northern Ireland,GBR,43,7,0,0,0,0,0,50
2022,Sri Lanka,LKA,United Kingdom of Great Britain and Northern Ireland,GBR,4159,2222,0,0,0,0,0,6381
